Mod:Item:MetaData, Localized Name
betterwithaddons:food_beetroot_baked, Baked Beetroot
betterwithaddons:food_carrot_cooked, Cooked Carrot
betterwithaddons:food_carrot_baked, Baked Carrot
betterwithaddons:food_potato_cooked, Cooked Potato
betterwithaddons:food_egg_cooked, Cooked Egg
betterwithaddons:food_meatballs, Meatballs
betterwithaddons:food_ground_meat, Ground Meat
betterwithaddons:food_pie_mushroom, Mushroom Pie
betterwithaddons:food_pie_amanita, Mushroom Pie
betterwithaddons:food_pie_meat, Meat Pie
betterwithaddons:food_pie_melon, Melon Pie
betterwithaddons:food_clownfish_cooked, Cooked Clownfish
betterwithaddons:food_pufferfish_baked, Cooked Pufferfish
betterwithaddons:food_pufferfish_prepared, Fugu
betterwithaddons:food_pufferfish_cooked, Cooked Fugu
betterwithaddons:food_fugu_sac, Fugu Sac
betterwithaddons:food_sashimi, Sashimi
betterwithaddons:food_mulberry, Mulberry
betterwithaddons:food_cooked_rice, Cooked Rice
betterwithaddons:food_bowl_rice, Bowl of Rice
betterwithaddons:laxative, Laxative
betterwithaddons:soulsand_pile, Pile of Soul Sand
betterwithaddons:rotten_food, Rotten Food
betterwithaddons:wool:0, White Fleece
betterwithaddons:wool:1, Orange Fleece
betterwithaddons:wool:2, Magenta Fleece
betterwithaddons:wool:3, Light Blue Fleece
betterwithaddons:wool:4, Yellow Fleece
betterwithaddons:wool:5, Lime Fleece
betterwithaddons:wool:6, Pink Fleece
betterwithaddons:wool:7, Gray Fleece
betterwithaddons:wool:8, Light Gray Fleece
betterwithaddons:wool:9, Cyan Fleece
betterwithaddons:wool:10, Purple Fleece
betterwithaddons:wool:11, Blue Fleece
betterwithaddons:wool:12, Brown Fleece
betterwithaddons:wool:13, Green Fleece
betterwithaddons:wool:14, Red Fleece
betterwithaddons:wool:15, Black Fleece
betterwithaddons:salt:0, Salt Cluster
betterwithaddons:artifact_frame, Artifact Display
betterwithaddons:tool_shard, Shards of %s
betterwithaddons:brick_stained:0, White Stained Brick
betterwithaddons:brick_stained:1, Orange Stained Brick
betterwithaddons:brick_stained:2, Magenta Stained Brick
betterwithaddons:brick_stained:3, Light Blue Stained Brick
betterwithaddons:brick_stained:4, Yellow Stained Brick
betterwithaddons:brick_stained:5, Lime Stained Brick
betterwithaddons:brick_stained:6, Pink Stained Brick
betterwithaddons:brick_stained:7, Gray Stained Brick
betterwithaddons:brick_stained:8, Light Gray Stained Brick
betterwithaddons:brick_stained:9, Cyan Stained Brick
betterwithaddons:brick_stained:10, Purple Stained Brick
betterwithaddons:brick_stained:11, Blue Stained Brick
betterwithaddons:brick_stained:12, Brown Stained Brick
betterwithaddons:brick_stained:13, Green Stained Brick
betterwithaddons:brick_stained:14, Red Stained Brick
betterwithaddons:brick_stained:15, Black Stained Brick
betterwithaddons:shinai, Shinai
betterwithaddons:katana, Katana
betterwithaddons:wakizashi, Wakizashi
betterwithaddons:tanto, Tanto
betterwithaddons:yumi, Yumi
betterwithaddons:ya, Ya
betterwithaddons:ancestry_bottle, Bottle of Japanese Ancestry
betterwithaddons:japanmat:0, Rice
betterwithaddons:japanmat:1, Soaked Rice
betterwithaddons:japanmat:2, Rice Stalk
betterwithaddons:japanmat:3, Rice Hay
betterwithaddons:japanmat:4, Rice Flour
betterwithaddons:japanmat:5, Common Rush
betterwithaddons:japanmat:6, Soaked Bamboo
betterwithaddons:japanmat:7, Bamboo Slats
betterwithaddons:japanmat:8, Soaked Mulberry Bark
betterwithaddons:japanmat:9, Mulberry Pulp
betterwithaddons:japanmat:10, Mulberry Sheet
betterwithaddons:japanmat:11, Washi
betterwithaddons:japanmat:12, Iron Scales
betterwithaddons:japanmat:13, Lamellar
betterwithaddons:japanmat:14, Paper Lamellar
betterwithaddons:japanmat:15, Tsuka
betterwithaddons:japanmat:16, Half Katana Blade
betterwithaddons:japanmat:17, Ya Head
betterwithaddons:japanmat:18, Yumi Top Parts
betterwithaddons:japanmat:19, Yumi Bottom Parts
betterwithaddons:japanmat:20, Tamahagane
betterwithaddons:japanmat:21, Heated Tamahagane
betterwithaddons:japanmat:22, Folded Tamahagane
betterwithaddons:japanmat:23, Reheated Tamahagane
betterwithaddons:japanmat:24, Finished Tamahagane
betterwithaddons:japanmat:25, Wrapped Tamahagane
betterwithaddons:japanmat:26, Hocho-Tetsu
betterwithaddons:japanmat:27, Heated Hocho-Tetsu
betterwithaddons:japanmat:28, Once-folded Hocho-Tetsu
betterwithaddons:japanmat:29, Twice-folded Hocho-Tetsu
betterwithaddons:japanmat:30, Finished Hocho-Tetsu
betterwithaddons:japanmat:31, Undecorated Samurai Helmet
betterwithaddons:japanmat:32, Undecorated Samurai Chestplate
betterwithaddons:japanmat:33, Undecorated Samurai Leggings
betterwithaddons:japanmat:34, Undecorated Samurai Boots
betterwithaddons:japanmat:35, Sakura Bark
betterwithaddons:japanmat:36, Mulberry Bark
betterwithaddons:helmet_samurai, Samurai Helmet [WIP]
betterwithaddons:chest_samurai, Samurai Chestplate [WIP]
betterwithaddons:legs_samurai, Samurai Leggings [WIP]
betterwithaddons:boots_samurai, Samurai Boots [WIP]
betterwithaddons:bag:0, Bag of Seeds
betterwithaddons:bag:1, Bag of Hemp Seeds
betterwithaddons:bag:2, Bag of Melon Seeds
betterwithaddons:bag:3, Bag of Pumpkin Seeds
betterwithaddons:bag:4, Bag of Beetroot Seeds
betterwithaddons:bag:5, Bag of Cocoa Beans
betterwithaddons:bag:6, Bag of Redstone
betterwithaddons:bag:7, Bag of Glowstone
betterwithaddons:bag:8, Bag of Sugar
betterwithaddons:bag:9, Bag of Gunpowder
betterwithaddons:bag:10, Bag of Flour
betterwithaddons:bag:11, Bag of Brimstone
betterwithaddons:bag:12, Bag of Niter
betterwithaddons:bag:13, Bag of Sawdust
betterwithaddons:bag:14, Bag of Soul Dust
betterwithaddons:bag:15, Bag of Potash
betterwithaddons:bag:16, Bag of Hellfire
betterwithaddons:bag:17, Bag of Kibble
betterwithaddons:crate:0, Crated Cooked Porkchops
betterwithaddons:crate:1, Crated Raw Porkchops
betterwithaddons:crate:2, Crated Cooked Chicken
betterwithaddons:crate:3, Crated Raw Chicken
betterwithaddons:crate:4, Crated Steak
betterwithaddons:crate:5, Crated Raw Beef
betterwithaddons:crate:6, Crated Cooked Mutton
betterwithaddons:crate:7, Crated Raw Mutton
betterwithaddons:crate:8, Crated Cooked Rabbit
betterwithaddons:crate:9, Crated Raw Rabbit
betterwithaddons:crate:10, Crated Eggs
betterwithaddons:crate:11, Crated Slimeballs
betterwithaddons:crate:12, Crated Enderpearls
betterwithaddons:crate:13, Crated Cacti
betterwithaddons:crate:14, Crated Ink Sacs
betterwithaddons:congealed:0, Congealed Bones
betterwithaddons:congealed:1, Congealed Rotten Flesh
betterwithaddons:congealed:2, Congealed Spider Eyes
betterwithaddons:congealed:3, Congealed Mushroom
betterwithaddons:congealed:4, Congealed Mushroom
betterwithaddons:congealed:5, Congealed Nether Wart
betterwithaddons:bolt:0, Bolt of Hemp Cloth
betterwithaddons:bolt:1, Bolt of Vine
betterwithaddons:bolt:2, Bolt of Paper
betterwithaddons:bolt:3, Bolt of Leather
betterwithaddons:bolt:4, Bolt of Scoured Leather
betterwithaddons:bolt:5, Bolt of Tanned Leather
betterwithaddons:bolt:6, Bolt of String
betterwithaddons:bundle:0, Bundle of Feathers
betterwithaddons:bundle:1, Bundle of Arrows
betterwithaddons:bundle:2, Bundle of Blaze Rods
betterwithaddons:bundle:3, Bundle of Oak Saplings
betterwithaddons:bundle:4, Bundle of Birch Saplings
betterwithaddons:bundle:5, Bundle of Spruce Saplings
betterwithaddons:bundle:6, Bundle of Jungle Saplings
betterwithaddons:bundle:7, Bundle of Acacia Saplings
betterwithaddons:bundle:8, Bundle of Dark Oak Saplings
betterwithaddons:decomat:0, Hemp Oil
betterwithaddons:decomat:1, Wood Bleach
betterwithaddons:decomat:2, Wood Stain
betterwithaddons:decomat:3, Glass Chunk
betterwithaddons:tweakmat:0, Ash
betterwithaddons:tweakmat:1, Ink and Quill
betterwithaddons:wheatmat:0, Hay
betterwithaddons:explosion, §eHIGHLY VOLATILE!
bibliocraft:bookcase:0, Oak Bookcase
bibliocraft:bookcase:1, Spruce Bookcase
bibliocraft:bookcase:2, Birch Bookcase
bibliocraft:bookcase:3, Jungle Bookcase
bibliocraft:bookcase:4, Acacia Bookcase
bibliocraft:bookcase:5, Dark Oak Bookcase
bibliocraft:bookcase:6, Framed Bookcase
bibliocraft:bookcasecreative:0, Oak Creative Bookcase
bibliocraft:bookcasecreative:1, Spruce Creative Bookcase
bibliocraft:bookcasecreative:2, Birch Creative Bookcase
bibliocraft:bookcasecreative:3, Jungle Creative Bookcase
bibliocraft:bookcasecreative:4, Acacia Creative Bookcase
bibliocraft:bookcasecreative:5, Dark Oak Creative Bookcase
bibliocraft:bookcasecreative:6, Framed Creative Bookcase
bibliocraft:shelf:0, Oak Shelf
bibliocraft:shelf:1, Spruce Shelf
bibliocraft:shelf:2, Birch Shelf
bibliocraft:shelf:3, Jungle Shelf
bibliocraft:shelf:4, Acacia Shelf
bibliocraft:shelf:5, Dark Oak
bibliocraft:shelf:6, Framed Shelf
bibliocraft:markerpole, tile.BiblioCraft:MarkerPole.name
bibliocraft:clipboard, tile.BiblioCraft:Clipboard.name
bibliocraft:lanterngold:0, Fancy Lantern
bibliocraft:lanterngold:1, Fancy Lantern
bibliocraft:lanterngold:2, Fancy Lantern
bibliocraft:lanterngold:3, Fancy Lantern
bibliocraft:lanterngold:4, Fancy Lantern
bibliocraft:lanterngold:5, Fancy Lantern
bibliocraft:lanterngold:6, Fancy Lantern
bibliocraft:lanterngold:7, Fancy Lantern
bibliocraft:lanterngold:8, Fancy Lantern
bibliocraft:lanterngold:9, Fancy Lantern
bibliocraft:lanterngold:10, Fancy Lantern
bibliocraft:lanterngold:11, Fancy Lantern
bibliocraft:lanterngold:12, Fancy Lantern
bibliocraft:lanterngold:13, Fancy Lantern
bibliocraft:lanterngold:14, Fancy Lantern
bibliocraft:lanterngold:15, Fancy Lantern
bibliocraft:lanterniron:0, Fancy Lantern
bibliocraft:lanterniron:1, Fancy Lantern
bibliocraft:lanterniron:2, Fancy Lantern
bibliocraft:lanterniron:3, Fancy Lantern
bibliocraft:lanterniron:4, Fancy Lantern
bibliocraft:lanterniron:5, Fancy Lantern
bibliocraft:lanterniron:6, Fancy Lantern
bibliocraft:lanterniron:7, Fancy Lantern
bibliocraft:lanterniron:8, Fancy Lantern
bibliocraft:lanterniron:9, Fancy Lantern
bibliocraft:lanterniron:10, Fancy Lantern
bibliocraft:lanterniron:11, Fancy Lantern
bibliocraft:lanterniron:12, Fancy Lantern
bibliocraft:lanterniron:13, Fancy Lantern
bibliocraft:lanterniron:14, Fancy Lantern
bibliocraft:lanterniron:15, Fancy Lantern
bibliocraft:lampgold:0, Fancy Lamp
bibliocraft:lampgold:1, Fancy Lamp
bibliocraft:lampgold:2, Fancy Lamp
bibliocraft:lampgold:3, Fancy Lamp
bibliocraft:lampgold:4, Fancy Lamp
bibliocraft:lampgold:5, Fancy Lamp
bibliocraft:lampgold:6, Fancy Lamp
bibliocraft:lampgold:7, Fancy Lamp
bibliocraft:lampgold:8, Fancy Lamp
bibliocraft:lampgold:9, Fancy Lamp
bibliocraft:lampgold:10, Fancy Lamp
bibliocraft:lampgold:11, Fancy Lamp
bibliocraft:lampgold:12, Fancy Lamp
bibliocraft:lampgold:13, Fancy Lamp
bibliocraft:lampgold:14, Fancy Lamp
bibliocraft:lampgold:15, Fancy Lamp
bibliocraft:lampiron:0, Fancy Lamp
bibliocraft:lampiron:1, Fancy Lamp
bibliocraft:lampiron:2, Fancy Lamp
bibliocraft:lampiron:3, Fancy Lamp
bibliocraft:lampiron:4, Fancy Lamp
bibliocraft:lampiron:5, Fancy Lamp
bibliocraft:lampiron:6, Fancy Lamp
bibliocraft:lampiron:7, Fancy Lamp
bibliocraft:lampiron:8, Fancy Lamp
bibliocraft:lampiron:9, Fancy Lamp
bibliocraft:lampiron:10, Fancy Lamp
bibliocraft:lampiron:11, Fancy Lamp
bibliocraft:lampiron:12, Fancy Lamp
bibliocraft:lampiron:13, Fancy Lamp
bibliocraft:lampiron:14, Fancy Lamp
bibliocraft:lampiron:15, Fancy Lamp
bibliocraft:furniturepaneler:0, Oak Furniture Paneler
bibliocraft:furniturepaneler:1, Spruce Furniture Paneler
bibliocraft:furniturepaneler:2, Birch Furniture Paneler
bibliocraft:furniturepaneler:3, Jungle Furniture Paneler
bibliocraft:furniturepaneler:4, Acacia Furniture Paneler
bibliocraft:furniturepaneler:5, Dark Oak Furniture Paneler
bibliocraft:furniturepaneler:6, Framed Furniture Paneler
bibliocraft:framedchest:0, Oak Framed Chest
bibliocraft:framedchest:1, Spruce Framed Chest
bibliocraft:framedchest:2, Birch Framed Chest
bibliocraft:framedchest:3, Jungle Framed Chest
bibliocraft:framedchest:4, Acacia Framed Chest
bibliocraft:framedchest:5, Dark Oak Framed Chest
bibliocraft:framedchest:6, Framed Framed Chest
bibliocraft:fancysign:0, Oak Fancy Sign
bibliocraft:fancysign:1, Spruce Fancy Sign
bibliocraft:fancysign:2, Birch Fancy Sign
bibliocraft:fancysign:3, Jungle Fancy Sign
bibliocraft:fancysign:4, Acacia Fancy Sign
bibliocraft:fancysign:5, Dark Oak Fancy Sign
bibliocraft:fancysign:6, Framed Fancy Sign
bibliocraft:fancyworkbench:0, Oak Fancy Workbench
bibliocraft:fancyworkbench:1, Spruce Fancy Workbench
bibliocraft:fancyworkbench:2, Birch Fancy Workbench
bibliocraft:fancyworkbench:3, Jungle Fancy Workbench
bibliocraft:fancyworkbench:4, Acacia Fancy Workbench
bibliocraft:fancyworkbench:5, Dark Oak Workbench
bibliocraft:fancyworkbench:6, Framed Fancy Workbench
bibliocraft:potionshelf:0, Oak Potion Shelf
bibliocraft:potionshelf:1, Spruce Potion Shelf
bibliocraft:potionshelf:2, Birch Potion Shelf
bibliocraft:potionshelf:3, Jungle Potion Shelf
bibliocraft:potionshelf:4, Acacia Potion Shelf
bibliocraft:potionshelf:5, Dark Oak Potion Shelf
bibliocraft:potionshelf:6, Framed Potion Shelf
bibliocraft:toolrack:0, Oak Tool Rack
bibliocraft:toolrack:1, Spruce Tool Rack
bibliocraft:toolrack:2, Birch Tool Rack
bibliocraft:toolrack:3, Jungle Tool Rack
bibliocraft:toolrack:4, Acacia Tool Rack
bibliocraft:toolrack:5, Dark Oak Tool Rack
bibliocraft:toolrack:6, Framed Tool Rack
bibliocraft:label:0, Oak Wood Label
bibliocraft:label:1, Spruce Wood Label
bibliocraft:label:2, Birch Wood Label
bibliocraft:label:3, Jungle Wood Label
bibliocraft:label:4, Acacia Label
bibliocraft:label:5, Dark Oak Label
bibliocraft:label:6, Framed Label
bibliocraft:desk:0, Oak Desk
bibliocraft:desk:1, Spruce Desk
bibliocraft:desk:2, Birch Desk
bibliocraft:desk:3, Jungle Desk
bibliocraft:desk:4, Acacia Desk
bibliocraft:desk:5, Dark Oak Desk
bibliocraft:desk:6, Framed Desk
bibliocraft:table:0, Oak Table
bibliocraft:table:1, Spruce Table
bibliocraft:table:2, Birch Table
bibliocraft:table:3, Jungle Table
bibliocraft:table:4, Acacia Table
bibliocraft:table:5, Dark Oak Table
bibliocraft:table:6, Framed Table
bibliocraft:seat:0, Oak Seat
bibliocraft:seat:1, Spruce Seat
bibliocraft:seat:2, Birch Seat
bibliocraft:seat:3, Jungle Seat
bibliocraft:seat:4, Acacia Seat
bibliocraft:seat:5, Dark Oak Seat
bibliocraft:seat:6, Framed Seat
bibliocraft:clock:0, Oak Clock
bibliocraft:clock:1, Spruce Clock
bibliocraft:clock:2, Birch Clock
bibliocraft:clock:3, Jungle Clock
bibliocraft:clock:4, Acacia Clock
bibliocraft:clock:5, Dark Oak Clock
bibliocraft:clock:6, Framed Clock
bibliocraft:case:0, Oak Case
bibliocraft:case:1, Spruce Case
bibliocraft:case:2, Birch Case
bibliocraft:case:3, Jungle Case
bibliocraft:case:4, Acacia Case
bibliocraft:case:5, Dark Oak Case
bibliocraft:case:6, Framed Case
bibliocraft:mapframe:0, Oak Map Frame
bibliocraft:mapframe:1, Spruce Map Frame
bibliocraft:mapframe:2, Birch Map Frame
bibliocraft:mapframe:3, Jungle Map Frame
bibliocraft:mapframe:4, Acacia Map Frame
bibliocraft:mapframe:5, Dark Oak Map Frame
bibliocraft:mapframe:6, Framed Map Frame
bibliocraft:paintingframeflat:0, Oak Painting Frame
bibliocraft:paintingframeflat:1, Spruce Painting Frame
bibliocraft:paintingframeflat:2, Birch Painting Frame
bibliocraft:paintingframeflat:3, Jungle Painting Frame
bibliocraft:paintingframeflat:4, Acacia Painting Frame
bibliocraft:paintingframeflat:5, Dark Oak Painting Frame
bibliocraft:paintingframeflat:6, Framed Painting Frame
bibliocraft:paintingframesimple:0, Oak Painting Frame
bibliocraft:paintingframesimple:1, Spruce Painting Frame
bibliocraft:paintingframesimple:2, Birch Painting Frame
bibliocraft:paintingframesimple:3, Jungle Painting Frame
bibliocraft:paintingframesimple:4, Acacia Painting Frame
bibliocraft:paintingframesimple:5, Dark Oak Painting Frame
bibliocraft:paintingframesimple:6, Framed Painting Frame
bibliocraft:paintingframemiddle:0, Oak Painting Frame
bibliocraft:paintingframemiddle:1, Spruce Painting Frame
bibliocraft:paintingframemiddle:2, Birch Painting Frame
bibliocraft:paintingframemiddle:3, Jungle Painting Frame
bibliocraft:paintingframemiddle:4, Acacia Painting Frame
bibliocraft:paintingframemiddle:5, Dark Oak Painting Frame
bibliocraft:paintingframemiddle:6, Framed Painting Frame
bibliocraft:paintingframefancy:0, Oak Painting Frame
bibliocraft:paintingframefancy:1, Spruce Painting Frame
bibliocraft:paintingframefancy:2, Birch Painting Frame
bibliocraft:paintingframefancy:3, Jungle Painting Frame
bibliocraft:paintingframefancy:4, Acacia Painting Frame
bibliocraft:paintingframefancy:5, Dark Oak Painting Frame
bibliocraft:paintingframefancy:6, Framed Painting Frame
bibliocraft:paintingframeborderless:0, Oak Painting Frame
bibliocraft:paintingframeborderless:1, Spruce Painting Frame
bibliocraft:paintingframeborderless:2, Birch Painting Frame
bibliocraft:paintingframeborderless:3, Jungle Painting Frame
bibliocraft:paintingframeborderless:4, Acacia Painting Frame
bibliocraft:paintingframeborderless:5, Dark Oak Painting Frame
bibliocraft:paintingframeborderless:6, Framed Painting Frame
bibliocraft:paintingpress, Painting Press
bibliocraft:typewriter:0, White Typewriter
bibliocraft:typewriter:1, Light Gray Typewriter
bibliocraft:typewriter:2, Gray Typewriter
bibliocraft:typewriter:3, Black Typewriter
bibliocraft:typewriter:4, Red Typewriter
bibliocraft:typewriter:5, Orange Typewriter
bibliocraft:typewriter:6, Yellow Typewriter
bibliocraft:typewriter:7, Lime Typewriter
bibliocraft:typewriter:8, Green Typewriter
bibliocraft:typewriter:9, Cyan Typewriter
bibliocraft:typewriter:10, Light Blue Typewriter
bibliocraft:typewriter:11, Blue Typewriter
bibliocraft:typewriter:12, Purple Typewriter
bibliocraft:typewriter:13, Magenta Typewriter
bibliocraft:typewriter:14, Pink Typewriter
bibliocraft:typewriter:15, Brown Typewriter
bibliocraft:swordpedestal:0, Sword Pedestal
bibliocraft:swordpedestal:1, Sword Pedestal
bibliocraft:swordpedestal:2, Sword Pedestal
bibliocraft:swordpedestal:3, Sword Pedestal
bibliocraft:swordpedestal:4, Sword Pedestal
bibliocraft:swordpedestal:5, Sword Pedestal
bibliocraft:swordpedestal:6, Sword Pedestal
bibliocraft:swordpedestal:7, Sword Pedestal
bibliocraft:swordpedestal:8, Sword Pedestal
bibliocraft:swordpedestal:9, Sword Pedestal
bibliocraft:swordpedestal:10, Sword Pedestal
bibliocraft:swordpedestal:11, Sword Pedestal
bibliocraft:swordpedestal:12, Sword Pedestal
bibliocraft:swordpedestal:13, Sword Pedestal
bibliocraft:swordpedestal:14, Sword Pedestal
bibliocraft:swordpedestal:15, Sword Pedestal
bibliocraft:armorstand:0, Oak Armor Stand
bibliocraft:armorstand:1, Spruce Armor Stand
bibliocraft:armorstand:2, Birch Armor Stand
bibliocraft:armorstand:3, Jungle Armor Stand
bibliocraft:armorstand:4, Acacia Armor Stand
bibliocraft:armorstand:5, Dark Oak Armor Stand
bibliocraft:armorstand:6, Framed Armor Stand
bibliocraft:bell, Desk Bell
bibliocraft:typesettingtable, Typesetting Table
bibliocraft:printingpress, Printing Press
bibliocraft:cookiejar, Cookie Jar
bibliocraft:dinnerplate, Dinner Plate
bibliocraft:discrack, Disc Rack
bibliocraft:compass, Compass
bibliocraft:maptool, Drafting Compass
bibliocraft:seatback1:0, Oak Seat Back
bibliocraft:seatback1:1, Spruce Seat Back
bibliocraft:seatback1:2, Birch Seat Back
bibliocraft:seatback1:3, Jungle Seat Back
bibliocraft:seatback1:4, Acacia Seat Back
bibliocraft:seatback1:5, Dark Oak Seat Back
bibliocraft:seatback1:6, Framed Seat Back
bibliocraft:seatback2:0, Oak Seat Back
bibliocraft:seatback2:1, Spruce Seat Back
bibliocraft:seatback2:2, Birch Seat Back
bibliocraft:seatback2:3, Jungle Seat Back
bibliocraft:seatback2:4, Acacia Seat Back
bibliocraft:seatback2:5, Dark Oak Seat Back
bibliocraft:seatback2:6, Framed Seat Back
bibliocraft:seatback3:0, Oak Seat Back
bibliocraft:seatback3:1, Spruce Seat Back
bibliocraft:seatback3:2, Birch Seat Back
bibliocraft:seatback3:3, Jungle Seat Back
bibliocraft:seatback3:4, Acacia Seat Back
bibliocraft:seatback3:5, Dark Oak Seat Back
bibliocraft:seatback3:6, Framed Seat Back
bibliocraft:seatback4:0, Oak Seat Back
bibliocraft:seatback4:1, Spruce Seat Back
bibliocraft:seatback4:2, Birch Seat Back
bibliocraft:seatback4:3, Jungle Seat Back
bibliocraft:seatback4:4, Acacia Seat Back
bibliocraft:seatback4:5, Dark Oak Seat Back
bibliocraft:seatback4:6, Framed Seat Back
bibliocraft:seatback5:0, Oak Seat Back
bibliocraft:seatback5:1, Spruce Seat Back
bibliocraft:seatback5:2, Birch Seat Back
bibliocraft:seatback5:3, Jungle Seat Back
bibliocraft:seatback5:4, Acacia Seat Back
bibliocraft:seatback5:5, Dark Oak Seat Back
bibliocraft:seatback5:6, Framed Seat Back
bibliocraft:stockroomcatalog, Stockroom Catalog
bibliocraft:plumbline, Plumb line
bibliocraft:framingsaw, Framing Saw
bibliocraft:framingboard, Framing Board
bibliocraft:framingsheet, Framing Sheet
bibliocraft:testeritem, ItemStack Name Tester
bibliocraft:atlasbook:0, Atlas
bibliocraft:atlasplate, Atlas Plate
bibliocraft:deathcompass, Eternal Compass
bibliocraft:paintingcanvas, Painting Canvas
bibliocraft:bigbook, Big Writing Book
bibliocraft:recipebook, Empty Recipe Book
bibliocraft:slottedbook, Slotted Book
bibliocraft:handdrill, Hand Drill
bibliocraft:tapemeasure, Tape Measure
bibliocraft:tape, Tape Measure Reel
bibliocraft:bibliochase, Print Press Chase
bibliocraft:printplate, Print Press Plate
bibliocraft:enchantedplate, Enchanted Plate
bibliocraft:biblioredbook, Redstone: Volume I
bibliocraft:biblioglasses:0, Reading Glasses
bibliocraft:biblioglasses:1, Tinted Glasses
bibliocraft:biblioglasses:2, Monocle
bibliocraft:bibliodrill, Screw Gun
bibliocraft:bibliocreativelock, Lock and Key
bibliocraft:biblioclipboard, Clipboard
modularrouters:item_router, Item Router
modularrouters:template_frame, Template Frame
modularrouters:blank_module, Blank Module
modularrouters:blank_upgrade, Blank Upgrade
modularrouters:augment_core, Augment Core
modularrouters:override_card, Security Override Card
modularrouters:module:0, Dropper Module
modularrouters:module:1, Flinger Module
modularrouters:module:2, Vacuum Module
modularrouters:module:3, Placer Module
modularrouters:module:4, Breaker Module
modularrouters:module:5, Sender Module Mk1
modularrouters:module:6, Sender Module Mk2
modularrouters:module:7, Sender Module Mk3
modularrouters:module:8, Puller Module Mk1
modularrouters:module:9, Puller Module Mk2
modularrouters:module:10, Extruder Module Mk1
modularrouters:module:11, Extruder Module Mk2
modularrouters:module:12, Detector Module
modularrouters:module:13, Player Module
modularrouters:module:14, Fluid Screen Module
modularrouters:module:15, Void Module
modularrouters:module:16, Activator Module
modularrouters:upgrade:0, Stack Upgrade
modularrouters:upgrade:1, Speed Upgrade
modularrouters:upgrade:2, Security Upgrade
modularrouters:upgrade:3, Camouflage Upgrade
modularrouters:upgrade:4, Sync Upgrade
modularrouters:upgrade:5, Fluid Transfer Upgrade
modularrouters:upgrade:6, Muffler Upgrade
modularrouters:upgrade:7, Blast Upgrade
modularrouters:filter:0, Bulk Item Filter
modularrouters:filter:1, Mod Filter
modularrouters:filter:2, Regex Filter
modularrouters:filter:3, Inspection Filter
modularrouters:augment:0, Fast Pickup Augment
modularrouters:augment:1, Pickup Delay Augment
modularrouters:augment:2, Range Up Augment
modularrouters:augment:3, Range Down Augment
modularrouters:augment:4, Redstone Augment
modularrouters:augment:5, Regulator Augment
modularrouters:augment:6, Stack Augment
modularrouters:augment:7, XP Vacuum Augment
bloodmagic:altar, Blood Altar
bloodmagic:blood_rune:0, Blank Rune
bloodmagic:blood_rune:1, Speed Rune
bloodmagic:blood_rune:2, Efficiency Rune
bloodmagic:blood_rune:3, Rune of Sacrifice
bloodmagic:blood_rune:4, Rune of Self Sacrifice
bloodmagic:blood_rune:5, Displacement Rune
bloodmagic:blood_rune:6, Rune of Capacity
bloodmagic:blood_rune:7, Rune of Augmented Capacity
bloodmagic:blood_rune:8, Rune of the Orb
bloodmagic:blood_rune:9, Acceleration Rune
bloodmagic:blood_rune:10, Charging Rune
bloodmagic:ritual_controller:0, Master Ritual Stone
bloodmagic:ritual_controller:1, Imperfect Ritual Stone
bloodmagic:ritual_controller:2, Inverted Master Ritual Stone
bloodmagic:ritual_stone:0, Ritual Stone
bloodmagic:ritual_stone:1, Ritual Stone of Water
bloodmagic:ritual_stone:2, Ritual Stone of Fire
bloodmagic:ritual_stone:3, Ritual Stone of Earth
bloodmagic:ritual_stone:4, Ritual Stone of Air
bloodmagic:ritual_stone:5, Ritual Stone of Dusk
bloodmagic:ritual_stone:6, Ritual Stone of Dawn
bloodmagic:teleposer, Teleposer
bloodmagic:soul_forge, Hellfire Forge
bloodmagic:incense_altar, Incense Altar
bloodmagic:demon_crucible, Demon Crucible
bloodmagic:demon_crystallizer, Demon Crystallizer
bloodmagic:alchemy_table, Alchemy Table
bloodmagic:decorative_brick:0, Large Bloodstone Tile
bloodmagic:decorative_brick:1, Bloodstone Brick
bloodmagic:decorative_brick:2, Crystal Cluster
bloodmagic:decorative_brick:3, Crystal Cluster Brick
bloodmagic:path:0, Wooden Path
bloodmagic:path:1, Tiled Wooden Path
bloodmagic:path:2, Stone Brick Path
bloodmagic:path:3, Tiled Stone Path
bloodmagic:path:4, Worn Stone Brick Path
bloodmagic:path:5, Tiled Worn Stone Path
bloodmagic:path:6, Obsidian Brick Path
bloodmagic:path:7, Tiled Obsidian Path
bloodmagic:master_routing_node, Master Routing Node
bloodmagic:input_routing_node, Input Routing Node
bloodmagic:output_routing_node, Output Routing Node
bloodmagic:item_routing_node, Routing Node
bloodmagic:blood_tank:0, Blood Tank Tier 1
bloodmagic:blood_tank:1, Blood Tank Tier 2
bloodmagic:blood_tank:2, Blood Tank Tier 3
bloodmagic:blood_tank:3, Blood Tank Tier 4
bloodmagic:blood_tank:4, Blood Tank Tier 5
bloodmagic:blood_tank:5, Blood Tank Tier 6
bloodmagic:blood_tank:6, Blood Tank Tier 7
bloodmagic:blood_tank:7, Blood Tank Tier 8
bloodmagic:blood_tank:8, Blood Tank Tier 9
bloodmagic:blood_tank:9, Blood Tank Tier 10
bloodmagic:blood_tank:10, Blood Tank Tier 11
bloodmagic:blood_tank:11, Blood Tank Tier 12
